Nr;Data_urodzenia;Wykszta³cenie; Dochód_roczny 
1;21-3-1956;wy¿sze;32000
2;15-12-1980;œrednie;28000
3;12-9-1977;wy¿sze;29000
4;9-11-1965;podstawowe;36000
5;7-11-1945;podstawowe;40000
6;23-5-1934;œrednie;48000
7;22-6-1942;podstawowe;32000
8;27-4-1981;œrednie;18000
9;17-10-1953;wy¿sze;52000
10;21-4-1951;wy¿sze;49000
11;19-1-1957;wy¿sze;24000
12;23-9-1969;œrednie;22000
13;15-3-1982;œrednie;12000
14;5-4-1972;wy¿sze;16000
15;9-4-1977;wy¿sze;21000
16;2-10-1979;wy¿sze;27000
17;12-10-1983;œrednie;10000
18;28-12-1975;wy¿sze;30000
19;25-11-1932;podstawowe;26000
20;23-9-1936;podstawowe;43000
21;11-7-1940;wy¿sze;61000
22;5-8-1941;wy¿sze;38000
23;24-4-1944;podstawowe;17000
24;26-1-1949;œrednie;22000
25;12-6-1957;wy¿sze;39000
26;19-3-1956;podstawowe;23200
27;11-12-1980;œrednie;13300
28;6-9-1977;podstawowe;17400
29;1-11-1965;œrednie;22500
30;28-10-1945;wy¿sze;28600
31;11-5-1934;wy¿sze;11700
32;8-6-1942;wy¿sze;31800
33;11-4-1981;œrednie;27900
34;29-9-1953;œrednie;45000
35;1-4-1951;wy¿sze;63100
36;28-12-1956;wy¿sze;40200
37;30-8-1969;œrednie;19300
38;17-2-1982;wy¿sze;24400
39;8-3-1972;podstawowe;41500
40;10-3-1977;podstawowe;40500
41;31-8-1979;œrednie;48600
42;8-9-1983;podstawowe;32700
43;22-11-1975;œrednie;18800
44;18-10-1932;wy¿sze;52900
45;14-8-1936;wy¿sze;50000
46;30-5-1940;œrednie;25100
47;22-6-1941;wy¿sze;23200
48;9-3-1944;podstawowe;13300
49;9-12-1948;podstawowe;17400
50;23-4-1957;wy¿sze;22500
51;21-4-1982;wy¿sze;28600
52;13-5-1972;podstawowe;11700
53;18-5-1977;œrednie;31800
54;11-11-1979;wy¿sze;27900
55;22-11-1983;œrednie;23500
56;8-2-1976;wy¿sze;13700
57;7-1-1933;wy¿sze;17900
58;6-11-1936;œrednie;23100
59;25-8-1940;wy¿sze;29300
60;20-9-1941;podstawowe;12500
61;10-6-1944;podstawowe;32700
62;15-3-1949;œrednie;28900
63;31-7-1957;podstawowe;46100
64;15-4-1956;œrednie;64300
65;10-1-1981;podstawowe;41500
66;9-10-1977;œrednie;20700
67;7-12-1965;wy¿sze;25900
68;6-12-1945;œrednie;43100
69;22-6-1934;wy¿sze;42200
70;23-7-1942;wy¿sze;50400
71;29-5-1981;œrednie;34600
72;19-11-1953;œrednie;20800
73;25-5-1951;wy¿sze;55000
74;23-2-1957;podstawowe;52200
75;29-10-1969;podstawowe;27400
76;20-4-1957;wy¿sze;25600
77;15-4-1982;wy¿sze;15800
78;4-5-1972;œrednie;20000
79;6-5-1977;podstawowe;25200
80;27-10-1979;œrednie;31400
81;4-11-1983;wy¿sze;14600
82;18-1-1976;wy¿sze;34800
83;14-12-1932;wy¿sze;31000
84;10-10-1936;œrednie;31000
85;26-7-1940;œrednie;26700
86;18-8-1941;wy¿sze;17000
87;5-5-1944;podstawowe;21300
88;4-2-1949;podstawowe;26600
89;19-6-1957;wy¿sze;32900
90;1-3-1956;wy¿sze;16200
91;23-11-1980;œrednie;36500
92;19-8-1977;podstawowe;32800
93;14-10-1965;œrednie;50100
94;10-10-1945;wy¿sze;68400
95;23-4-1934;œrednie;45700
96;21-5-1942;wy¿sze;25000

